imagen,tecnica,media_intensidad,desviacion_estandar_contraste,entropia,min_intensidad,max_intensidad
1041.png,original,27.657276234567902,46.63719574043575,5.78048351745093,0,255
1041.png,gamma,11.376463477366254,37.68965533652453,2.966428286499669,0,255
1041.png,contrast_stretching,27.657276234567902,46.63719574043575,5.78048351745093,0,255
1041.png,histogram_equalization,132.05749356995884,69.35113084944187,5.438966995433703,0,255
1041.png,clahe,45.4797595164609,54.16151824339697,6.630551394516004,0,255
1041.png,arithmetic,69.6459246399177,52.31599517414529,6.009110319385307,35,255
1132.png,original,3.8830504115226336,8.663760241259844,3.1606305752103143,0,255
1132.png,gamma,0.29168338477366257,4.786409007147782,0.37342022491699006,0,255
1132.png,contrast_stretching,3.8830504115226336,8.663760241259844,3.1606305752103143,0,255
1132.png,histogram_equalization,145.06713991769547,62.778858733310585,3.1469769225825885,0,255
1132.png,clahe,12.483082561728395,14.796714903243029,3.9421419072700075,1,255
1132.png,arithmetic,40.162502572016464,10.84596378210105,3.6388726813034515,35,255
1150.png,original,11.94176183127572,23.995914985484525,4.814697504904882,0,255
1150.png,gamma,2.713289609053498,17.49639046641819,1.3807043785662667,0,255
1150.png,contrast_stretching,11.94176183127572,23.995914985484525,4.814697504904882,0,255
1150.png,histogram_equalization,126.27085390946502,74.5993420455769,4.647243993529514,0,255
1150.png,clahe,26.02960648148148,31.94057094872176,5.905404955482139,1,255
1150.png,arithmetic,50.57168852880658,28.222918201058587,5.165821888316781,35,255
1.png,original,13.568761574074074,24.188572962648863,5.012123677587954,0,255
1.png,gamma,2.9104951131687242,16.314161696160927,1.7907116553008746,0,255
1.png,contrast_stretching,13.568761574074074,24.188572962648863,5.012123677587954,0,255
1.png,histogram_equalization,122.3627996399177,73.93929426739737,4.84504189468222,0,255
1.png,clahe,29.922628600823046,36.24431023580196,5.923906466306586,1,255
1.png,arithmetic,52.871233281893005,28.99132346161824,5.414050924634711,35,255
